SampleIndex,Expected False Reads
F01R11,0.0
F01R12,0.0
F01R13,0.0
F01R14,0.0
F01R15,0.0
F01R16,0.0
F01R17,0.0
F01R18,0.0
F01R19,0.0
F01R20,0.0
F02R11,0.0
F02R12,0.0
F02R13,0.0
F02R14,0.0
F02R15,0.0
F02R16,0.0
F02R17,0.0
F02R18,0.0
F02R19,0.0
F02R20,0.0
F03R11,0.0
F03R12,0.0
F03R13,0.0
F03R14,0.0
F03R15,0.0
F03R16,0.0
F03R17,0.0
F03R18,0.0
F03R19,0.0
F03R20,0.0
F04R11,0.0
F04R12,0.0
F04R13,0.0
F04R14,0.0
F04R15,0.0
F04R16,0.0
F04R17,0.0
F04R18,0.0
F04R19,0.0
F04R20,0.0
F05R11,0.0
F05R12,0.0
F05R13,0.0
F05R14,0.0
F05R15,0.0
F05R16,0.0
F05R17,0.0
F05R18,0.0
F05R19,0.0
F05R20,0.0
F06R11,0.0
F06R12,0.0
F06R13,0.0
F06R14,0.0
F06R15,0.0
F06R16,0.0
F06R17,0.0
F06R18,0.0
F06R19,0.0
F06R20,0.0
F07R11,0.0
F07R12,0.0
F07R13,0.0
F07R14,0.0
F07R15,0.0
F07R16,0.0
F07R17,0.0
F07R18,0.0
F07R19,0.0
F07R20,0.0
F08R11,0.0
F08R12,0.0
F08R13,0.0
F08R14,0.0
F08R15,0.0
F08R16,0.0
F08R17,0.0
F08R18,0.0
F08R19,0.0
F08R20,0.0
F09R11,0.0
F09R12,0.0
F09R13,0.0
F09R14,0.0
F09R15,0.0
F09R16,0.0
F09R17,0.0
F09R18,0.0
F09R19,0.0
F09R20,0.0
F10R11,0.0
F10R12,0.0
F10R13,0.0
F10R14,0.0
F10R15,0.0
F10R16,0.0
F10R17,0.0
F10R18,0.0
F10R19,0.0
F10R20,0.0
