,0
bf1f4684eda58b6ad3957fe2e00fa3fd,43986.0
fd00470fb9f078d697480d2d44169273,12716.0
6c344da36e78e86a174865a6365a5fdf,9515.0
a3de642f9f4ecd70824419f24119ee09,9234.0
d686be731c0fc8cdd68edff708fb585e,8454.0
af977a716eaa4d5c264eb20ef43fbd22,7781.0
557abd9fa6bdb014d48c44d61086bae9,7191.0
567d83beaba3b95fc00a6057648e22b0,6432.0
8f56865ddeea404093c0ede08bc8c474,5635.0
ea77bd05aeaf8a4fec4ecf50e6e42a54,5285.0
40afcc267ad72f0fbdc5779bdf4ff894,4908.0
b1782312678918577fe2814a174916fa,4212.0
f3485e2748cefa869b22f7eaec6164c3,4193.0
877512ca255ba5030f3faf9bf1429711,3925.0
8a7a4c49233a86a9e636853a294646cb,3758.0
da98d54995b1009db14265c6ddee98b7,3526.0
dfa5b93013ea58f1f9be8096e3f9667c,3170.0
df8dadcda72227cf1e38df9d668dac60,3164.0
734225fec9b32a7ca60437beade8405b,3157.0
3a8e5314b5ff91cbea6869e98a6e23af,3128.0
ac5c0ac75d873899507949767f2372be,3057.0
34de65e1466d0b8c6ca1ce9d939aec4f,2868.0
f135e10b33bb89ad8529d939a8544bf3,2818.0
66f3995401ac06280a127d2321d5cb83,2550.0
968b113fe8bfdc068bbe2db323f9ddc0,2521.0
88c15ce613d9de11bbbf316673fd11c4,2464.0
62deed16dbecccaf2ba7f95491c71152,2348.0
d01de25fb80060dbef15530cd301a4cc,2244.0
a94278d583b7cdb5271a0647ff5b48be,2227.0
9900d983b986a99b585cbebf3514a97a,1971.0
c1910d77053b2b8ac26bd84448b72dac,1767.0
492a0e41ab749ed6d2c3c2b738d14553,1724.0
3186e94c0700045e58e3544417139929,1558.0
11eccef3a2317a8962345dca7d1e9172,1494.0
2d08a2d54e3f9ed21bb57425e8ea9d0c,1437.0
a04ae8d44d518ba36c0b1f7ab7ca26cb,1395.0
345ed1a4ea46e7f331d93d06c5454dcf,1392.0
c900398ad256af86b1372057eaf5379a,1364.0
1386f9e18b18e423aecb89af30a1d44a,1356.0
aa2865b2013a7bbf8480e79dee61518e,1350.0
e00ec95d6770f9ec81c4324bda5f922a,1331.0
8593640fc5ef4bd03af0424be4ec2250,1268.0
16a43abfc430656f67e5f9b27f4c829c,1239.0
fc2ed680c2278165cf53cafaa0fc6b23,1237.0
7d39ace2164315a768cf17f2f1e8ce1e,1211.0
860f8cffa512b5772b8ade14477e7b86,1157.0
1ebdf2cab74d31f61528f5a4ebe04792,1079.0
08b783bc6abd607b50b42ff785489516,1058.0
8d8ea1a6ca5852c710ea859534e1551f,1037.0
a3504cca905eb377d9c050f0d1b2d376,1014.0
ff5a6e034b94fb6ea54bed87aab513e4,1001.0
31a6ab8f32ba8ca19b87511d4c3affc2,943.0
81e33317f53bfc1d2bfac5a5b8f59cf5,934.0
85ad30fed31e9b82afacedc3b34924ce,896.0
5284198c3926d287f8808c764fa203a0,847.0
257f312265b8488586105039a5b5fe90,839.0
f019245e357a575ff84c76f4acfbb2ca,831.0
96c67bed6788ebd70318e6335e1a1cd9,784.0
e0bc47ab43a742455c857d9f26d35065,714.0
cc58dc666c9eabc2639b62c6f8eecf96,655.0
7f804bba6c4614c633a7514a31524a03,654.0
22b4bbcd1bc9bb4f9824438cbfb67942,645.0
834343cdd52d8732ac023ce2f7b4789b,625.0
25a808efa7af9c761b017b00a6654a8c,619.0
05a42657c9cac97c318e7c51642df136,601.0
2706c71eec318f84c60ee5f1485ac77a,590.0
6d8792260b8121f6f78596ff3fb8fa15,586.0
ff066c4fa61d7c1ebfd55a2c9e6c6472,566.0
db9cf39e80623221f8a1fbd7fff8725c,562.0
1310b4ffc2274031a490354f5de8bb18,524.0
10d3d4258e2445df92241ddb311e3934,484.0
685148500ba8fec1079a49cf82e9c4a3,481.0
e44ab4cbf9307be8d019b757c5c51e96,475.0
9d7bc6962a46d330d8d8a7c2e0df6c4b,458.0
f1b9ce2e899bca1319b4ab21b1253a55,432.0
c3e5fd3863d13c6d66d9c985d5112f11,428.0
d8c6af9fed6132cb2ec1f18d71650122,414.0
c8335d8c6377a9814ce1d8f793bc4914,399.0
a764ef5cee639aac0d3197858f38cb96,397.0
f7abf08bb576e8f34e06bc967cc321b1,384.0
9e481933644fbc1ae1b8a1f4a757b00b,357.0
6cb42e074a5f46410d9432afbeb64d5b,344.0
55050c767154794cc7a2f1f33406fc9c,332.0
5ae46f4a23c4ef527f6a00c53b5600c9,327.0
aae00bb17831c3f9204e3cbc4859db58,323.0
e706c91fb9215a5d698886b93bbbf828,311.0
19880086e76401a3ecb3e415f322e2e4,310.0
1caaf59766af22ab6aa1398ec5c9c395,307.0
8ae8c8a07124232baf652cbc99a00a26,295.0
109ac39285b19ff4a6e0d5b3b58d9c37,291.0
64cd7673dd455c4a21463e19fef26e75,288.0
905c0ca3c1edb84ec60abd5f7d45644c,281.0
088c29f5c7cdd3088f71cbaed88016d8,276.0
5d498d6ce90d8c6c0c9ec466dcc0a94c,268.0
5252513838b43ab01ed9e4fb6130ace9,267.0
4dabfd10c900be4902669a63e972a44a,261.0
165e850ac2f037686d0ae43493485ff9,260.0
cba5f91d86b635f583699a7e30fbfd65,256.0
0998d64089e59414e00efad7f25b4953,254.0
b0adbb716035f212fcad54eed818fb9a,251.0
fe33e02c1c7008d95cea4363062daf9c,250.0
50d4aa4431af117daa48bf7c660fa3a8,250.0
56a623780549b3236bb0316e7190b789,246.0
ece80043110e94b08fb4314ffa2d30ad,245.0
322429549c525240c49728522e61d9a7,238.0
64a1cc4089b79d4bd573acbb1b1fe791,231.0
02868efa5752e21b066f6dc2bdae756b,230.0
1e22521aad417c326a16fa66a7af47b6,228.0
dfed61f7b57ea4776a2038b9f4da99ae,228.0
1316efce2b13dc7f6909181c6e21a106,226.0
95aa0acd66f10898f9e362e619c4ae5d,223.0
681358aaa813ded18db315be08e54070,220.0
5fd647138f4493fb1e45a0b88cd0788e,219.0
aecfef499b73106ce98139e03180f8f2,215.0
