,0
F05R16,17876.0
F07R20,11688.0
F07R13,8442.0
F09R14,7851.0
F09R12,6803.0
F03R17,6279.0
F05R12,5858.0
F05R14,5599.0
F02R16,5286.0
F07R19,5280.0
F02R17,5035.0
F07R14,4747.0
F02R19,4607.0
F03R14,4461.0
F08R18,4447.0
F02R15,4402.0
F02R18,4380.0
F06R19,4288.0
F04R16,4261.0
F08R12,4236.0
F03R16,4160.0
F03R12,4137.0
F09R13,4124.0
F04R13,4114.0
F08R14,4107.0
F07R15,3997.0
F04R12,3926.0
F04R15,3881.0
F07R18,3704.0
F08R15,3609.0
F02R14,3499.0
F03R18,3390.0
F08R20,3389.0
F04R14,3327.0
F02R12,3298.0
F06R16,3289.0
F02R20,3149.0
F06R13,3146.0
F07R16,3090.0
F02R13,3089.0
F06R18,3069.0
F03R15,2995.0
F08R16,2993.0
F05R18,2952.0
F05R17,2924.0
F01R11,2829.0
F07R12,2826.0
F08R17,2718.0
F04R18,2667.0
F06R15,2456.0
F08R19,2408.0
F06R17,2327.0
F03R13,2284.0
F08R13,1954.0
F06R14,1952.0
F05R15,1948.0
F07R17,1926.0
F03R19,1889.0
F06R12,1813.0
F04R19,1697.0
F03R20,1684.0
F04R17,1646.0
F05R19,1472.0
F05R20,1117.0
F05R13,686.0
F09R19,561.0
F09R20,516.0
F09R18,303.0
F06R20,155.0
F09R15,14.0
F09R17,8.0
F09R16,1.0
