sample ID	forward sequence count
F05R16	21468
F07R20	15632
F07R13	9749
F09R14	9601
F09R12	8723
F05R12	7602
F03R17	7221
F05R14	6688
F02R17	6307
F08R12	6266
F07R19	6089
F02R16	5864
F07R15	5702
F07R14	5562
F04R16	5523
F08R18	5513
F06R19	5503
F03R14	5466
F08R14	5463
F01R11	5422
F03R12	5353
F04R13	5300
F02R15	5288
F08R15	5269
F03R16	5044
F02R19	5038
F04R12	4997
F04R15	4949
F02R18	4890
F03R18	4837
F09R13	4688
F07R18	4571
F08R20	4486
F06R18	4400
F07R16	4379
F02R14	4282
F04R14	4254
F06R16	4124
F08R16	4106
F08R17	3919
F02R12	3908
F02R20	3852
F06R13	3783
F03R15	3724
F05R17	3611
F07R12	3595
F05R18	3544
F06R17	3335
F02R13	3308
F08R19	3269
F04R18	3170
F03R13	3046
F06R15	2860
F07R17	2622
F05R13	2593
F06R14	2587
F03R19	2579
F08R13	2463
F05R15	2305
F03R20	2284
F04R17	2161
F06R12	2104
F04R19	2099
F05R19	1941
F05R20	1598
F09R19	802
F09R20	801
F09R18	369
F06R20	187
F09R17	26
F09R15	15
F04R20	1
F01R17	1
F09R16	1
F10R19	0
F10R18	0
F10R12	0
F10R17	0
F10R13	0
F10R16	0
F10R15	0
F10R14	0
F10R11	0
F06R11	0
F09R11	0
F08R11	0
F07R11	0
F01R12	0
F05R11	0
F04R11	0
F03R11	0
F02R11	0
F01R20	0
F01R19	0
F01R18	0
F01R16	0
F01R15	0
F01R14	0
F01R13	0
F10R20	0
